Date,Close,Volume,Open,High,Low
12/30/2014,528.97,"876,200",526.64,529.7,525.69
12/31/2014,524.96,"1,368,200",529.8,531.14,524.36
1/2/2015,523.37,"1,447,500",527.56,529.82,522.67
1/5/2015,512.46,"2,059,800",521.83,522.89,511.66
1/6/2015,500.59,"2,899,900",513.59,514.76,499.68
1/7/2015,499.73,"2,065,000",505.61,505.86,498.28
1/8/2015,501.3,"3,353,500",496.63,502.1,489.66
1/9/2015,494.81,"2,071,300",503.38,503.54,493.44
1/12/2015,491.2,"2,326,700",493.58,494.62,486.23
1/13/2015,494.82,"2,370,400",497.47,501.6,491.04
1/14/2015,499.5,"2,215,500",493.3,501.85,491.65
1/15/2015,500.42,"2,715,800",504.19,504.3,496.4
1/16/2015,506.69,"2,298,200",498.64,506.8,498.63
1/20/2015,505.51,"2,232,000",509.6,511.1,504.63
1/21/2015,516.62,"2,268,700",505.86,517.86,504.81
1/22/2015,532.93,"2,676,900",520.05,534.86,518.28
1/23/2015,538.47,"2,281,700",534.12,540.69,531.54
1/26/2015,533.74,"1,543,700",537.06,537.52,528.22
1/27/2015,517.21,"1,904,000",528.52,529.25,516.77
1/28/2015,508.6,"1,683,800",521.35,521.56,508.6
1/29/2015,509.26,"4,186,300",509.6,509.69,499.83
1/30/2015,533.06,"5,606,300",514.45,538.39,514.11
2/2/2015,527.03,"2,849,800",530.27,531.54,517.13
2/3/2015,527.79,"2,038,600",526.55,531.94,521.83
2/4/2015,521.33,"1,663,600",527.79,531.21,519.84
2/5/2015,526.14,"1,849,700",522.36,527.05,520.66
2/6/2015,529.55,"1,763,500",526.2,535.73,524.97
2/9/2015,526.38,"1,267,700",526.55,530.54,524.58
2/10/2015,535.47,"1,749,800",527.85,536.23,525.48
2/11/2015,534.5,"1,377,700",533.83,536.98,531.92
2/12/2015,541.44,"1,620,200",535.78,543.33,533.21
2/13/2015,547.51,"1,900,300",541.86,548.4,541.64
2/17/2015,541.35,"1,616,800",545.33,548.49,539.61
2/18/2015,538.22,"1,453,000",539.92,544,536.04
2/19/2015,541.38,"989,100",536.57,541.62,536.54
2/20/2015,537.47,"1,444,300",541.64,542.26,534.33
2/23/2015,530.45,"1,457,800",534.58,534.97,527.96
2/24/2015,534.62,"1,005,000",528.55,535.32,526.8
2/25/2015,542.38,"1,825,900",534.43,544.72,533.98
2/26/2015,553.96,"2,311,500",541.72,554.62,540.02
2/27/2015,556.87,"2,410,100",552.72,563.16,551.39
3/2/2015,569.78,"2,129,600",559,570.58,557.22
3/3/2015,572.07,"1,704,700",568.89,573.81,564.97
3/4/2015,571.8,"1,876,800",570.3,575.53,566.45
3/5/2015,573.75,"1,389,600",573.45,576.33,571.84
3/6/2015,566.13,"1,659,100",573.31,575.1,565.21
3/9/2015,567.29,"1,062,100",565.31,568.71,561.99
3/10/2015,553.49,"1,792,300",562.71,563.3,553.21
3/11/2015,549.67,"1,820,700",553.62,556.61,549.17
3/12/2015,553.99,"1,389,600",551.99,554.85,548.95
3/13/2015,545.82,"1,703,500",551.98,556.87,542.73
3/16/2015,552.99,"1,640,900",549.44,555.33,544.51
3/17/2015,549.33,"1,805,500",550.2,552.28,546.5
3/18/2015,557.97,"2,134,500",550.99,558.25,545.5
3/19/2015,556.46,"1,197,200",557.86,559.26,554.62
3/20/2015,558.83,"2,616,800",560.11,560.18,557.52
3/23/2015,557.28,"1,643,800",558.9,560.82,554.31
3/24/2015,568.63,"2,583,200",561.02,573.02,559.67
3/25/2015,557.26,"2,152,200",568.94,570.69,557.21
3/26/2015,553.65,"1,572,600",556.06,557.37,549.14
3/27/2015,546.84,"1,897,400",551.49,553.76,546.63
3/30/2015,550.52,"1,287,500",550.11,551.95,546.67
3/31/2015,546.5,"1,588,000",548.49,553.19,545.22
4/1/2015,541.07,"1,963,000",547.1,549.63,538.02
4/2/2015,534.06,"1,716,300",539.37,539.37,532.39
4/6/2015,535.3,"1,324,400",530.76,536.94,528.12
4/7/2015,535.55,"1,302,800",536.61,541.2,534.53
4/8/2015,540.13,"1,178,500",536.91,542.36,536.91
4/9/2015,539.3,"1,557,800",539.55,540.47,534.02
4/10/2015,538.53,"1,409,400",540.81,540.81,535.84
4/13/2015,537.69,"1,645,300",536.94,542.57,535.84
4/14/2015,528.94,"2,604,100",534.78,536.1,526.65
4/15/2015,531.07,"2,318,800",527.25,533.27,521.79
4/16/2015,532.34,"1,299,800",528.45,534.12,528.16
4/17/2015,522.62,"2,151,800",527.21,528.39,519.58
4/20/2015,533.91,"1,679,200",524.16,534.62,523.06
4/21/2015,532.51,"1,844,700",536.04,537.91,532.21
4/22/2015,537.89,"1,593,500",532.94,539.6,530.29
4/23/2015,545.5,"4,184,800",539.52,549.45,538.75
4/24/2015,563.51,"4,932,500",564.55,569.58,555.72
4/27/2015,555.37,"2,398,000",563.39,565.95,553.2
4/28/2015,553.68,"1,491,000",554.64,556.02,550.37
4/29/2015,549.08,"1,698,800",550.47,553.68,546.91
4/30/2015,537.34,"2,082,200",547.87,548.59,535.05
5/1/2015,537.9,"1,768,200",538.43,539.54,532.1
5/4/2015,540.78,"1,308,000",538.53,544.07,535.06
5/5/2015,530.8,"1,383,100",538.21,539.74,530.39
5/6/2015,524.22,"1,567,000",531.24,532.38,521.09
5/7/2015,530.7,"1,546,300",523.99,533.46,521.75
5/8/2015,538.22,"1,527,600",536.65,541.15,525
5/11/2015,535.7,"905,300",538.37,541.98,535.4
5/12/2015,529.04,"1,634,200",531.6,533.21,525.26
5/13/2015,529.62,"1,252,300",530.56,534.32,528.66
5/14/2015,538.4,"1,403,900",533.77,539,532.41
5/15/2015,533.85,"1,971,300",539.18,539.27,530.38
5/18/2015,532.3,"2,003,400",532.01,534.82,528.85
5/19/2015,537.36,"1,966,900",533.98,540.66,533.04
5/20/2015,539.27,"1,430,800",538.49,542.92,532.97
5/21/2015,542.51,"1,462,700",537.95,543.84,535.98
5/22/2015,540.11,"1,176,200",540.15,544.19,539.51
5/26/2015,532.32,"2,406,500",538.12,539,529.88
5/27/2015,539.79,"1,525,000",532.8,540.55,531.71
5/28/2015,539.78,"1,029,800",538.01,540.61,536.25
5/29/2015,532.11,"2,597,400",537.37,538.63,531.45
6/1/2015,533.99,"1,904,300",536.79,536.79,529.76
6/2/2015,539.18,"1,939,000",532.93,543,531.33
6/3/2015,540.31,"1,714,500",539.91,543.5,537.11
6/4/2015,536.7,"1,348,300",537.76,540.59,534.32
6/5/2015,533.33,"1,388,200",536.35,537.2,532.52
6/8/2015,526.83,"1,520,600",533.31,534.12,526.24
6/9/2015,526.69,"1,455,300",527.56,529.2,523.01
6/10/2015,536.69,"1,815,000",529.36,538.36,529.35
6/11/2015,534.61,"1,217,500",538.42,538.98,533.02
6/12/2015,532.33,"955,800",531.6,533.12,530.16
6/15/2015,527.2,"1,632,700",528,528.3,524
6/16/2015,528.15,"1,071,800",528.4,529.64,525.56
6/17/2015,529.26,"1,294,200",529.37,530.98,525.1
6/18/2015,536.73,"1,833,100",531,538.15,530.79
6/19/2015,536.69,"1,893,500",537.21,538.25,533.01
6/22/2015,538.19,"1,250,300",539.59,543.74,537.53
6/23/2015,540.48,"1,197,500",539.64,541.5,535.25
6/24/2015,537.84,"1,286,600",540,540,535.66
6/25/2015,535.23,"1,335,700",538.87,540.9,535.23
6/26/2015,531.69,"2,109,100",537.26,537.76,531.35
6/29/2015,521.52,"1,937,800",525.01,528.61,520.54
6/30/2015,520.51,"2,217,200",526.02,526.25,520.5
